date,target,item_id
12/10/2014,34190,Close
12/11/2014,34220,Close
12/12/2014,34260,Close
12/13/2014,34240,Close
12/14/2014,34900,Close
12/15/2014,34100,Close
12/16/2014,34800,Close
12/17/2014,34930,Close
12/18/2014,35000,Close
12/19/2014,34940,Close
12/20/2014,35100,Close
12/21/2014,35070,Close
12/22/2014,35530,Close
12/23/2014,35560,Close
12/24/2014,35730,Close
12/25/2014,35590,Close
12/26/2014,35390,Close
12/27/2014,35580,Close
12/28/2014,35530,Close
12/29/2014,35490,Close
12/30/2014,35210,Close
12/31/2014,35010,Close
1/1/2015,35010,Close
1/2/2015,34960,Close
1/3/2015,35090,Close
1/4/2015,35210,Close
1/5/2015,35120,Close
1/6/2015,35240,Close
1/7/2015,35130,Close
1/8/2015,35000,Close
1/9/2015,34970,Close
1/10/2015,34940,Close
1/11/2015,34860,Close
1/12/2015,34700,Close
1/13/2015,34500,Close
1/14/2015,34520,Close
1/15/2015,34500,Close
1/16/2015,34450,Close
1/17/2015,34460,Close
1/18/2015,34670,Close
1/19/2015,35140,Close
1/20/2015,34740,Close
1/21/2015,34610,Close
1/22/2015,34570,Close
1/24/2015,34430,Close
1/25/2015,34650,Close
1/26/2015,34690,Close
1/27/2015,34600,Close
1/28/2015,34560,Close
1/29/2015,34560,Close
1/31/2015,34570,Close
2/1/2015,34550,Close
2/2/2015,34560,Close
2/3/2015,34560,Close
2/4/2015,34430,Close
2/5/2015,34320,Close
2/7/2015,34190,Close
2/8/2015,34090,Close
2/9/2015,34310,Close
2/10/2015,34300,Close
2/12/2015,34290,Close
2/14/2015,34320,Close
2/15/2015,34300,Close
2/16/2015,34220,Close
2/17/2015,34020,Close
2/18/2015,34140,Close
2/19/2015,34140,Close
2/21/2015,34070,Close
2/22/2015,34220,Close
2/23/2015,34350,Close
2/24/2015,34340,Close
2/25/2015,34360,Close
2/26/2015,34350,Close
2/27/2015,34310,Close
2/28/2015,34240,Close
3/1/2015,34260,Close
3/2/2015,34250,Close
3/3/2015,34170,Close
3/4/2015,34200,Close
3/5/2015,34130,Close
3/7/2015,33990,Close
3/8/2015,34060,Close
3/9/2015,33960,Close
3/10/2015,33840,Close
3/11/2015,33360,Close
3/12/2015,33240,Close
3/13/2015,32990,Close
3/14/2015,32200,Close
3/15/2015,32410,Close
3/16/2015,32810,Close
3/17/2015,33530,Close
3/18/2015,33490,Close
3/19/2015,33380,Close
3/23/2015,33560,Close
3/24/2015,33600,Close
3/25/2015,33930,Close
3/26/2015,33930,Close
3/28/2015,32960,Close
3/29/2015,33100,Close
3/30/2015,33240,Close
3/31/2015,33070,Close
4/1/2015,33300,Close
4/2/2015,32350,Close
4/3/2015,31880,Close
4/4/2015,32690,Close
4/5/2015,32840,Close
4/6/2015,32860,Close
4/7/2015,33140,Close
4/8/2015,32930,Close
4/9/2015,32900,Close
4/11/2015,33520,Close
4/12/2015,33390,Close
4/13/2015,33380,Close
4/14/2015,33450,Close
4/15/2015,33580,Close
4/16/2015,33480,Close
4/17/2015,33420,Close
4/18/2015,33360,Close
4/19/2015,33390,Close
